Date,Sea Level (Mean),
1957/06/17,1.118,
1957/06/18,0.968,
1957/06/19,1.145,
1957/06/20,1.253,
1957/06/21,1.161,
1957/06/22,0.959,
1957/06/23,0.998,
1957/06/24,1.143,
1957/06/25,1.043,
1957/06/26,0.987,
1957/06/27,0.984,
1957/06/28,1.035,
1957/06/29,1.077,
1957/06/30,1.135,
1957/07/01,1.192,
1957/07/02,1.189,
1957/07/03,1.139,
1957/07/04,1.149,
1957/07/05,1.141,
1957/07/06,1.165,
1957/07/07,1.071,
1957/07/08,1.058,
1957/07/09,1.05,
1957/07/10,1.042,
1957/07/11,1.128,
1957/07/12,1.031,
1957/07/13,1.062,
1957/07/14,1.088,
1957/07/15,1.162,
1957/07/16,1.191,
1957/07/17,1.185,
1957/07/18,1.086,
1957/07/19,1.032,
1957/07/20,1.095,
1957/07/21,1.116,
1957/07/22,1.153,
1957/07/23,1.217,
1957/07/24,1.127,
1957/07/25,1.078,
1957/07/26,1.023,
1957/07/27,0.962,
1957/07/28,0.941,
1957/07/29,0.955,
1957/07/30,1.02,
1957/07/31,1.117,
1957/08/01,1.118,
1957/08/02,1.185,
1957/08/03,1.157,
1957/08/04,1.119,
1957/08/05,1.148,
1957/08/06,1.106,
1957/08/07,1.031,
1957/08/08,0.993,
1957/08/09,1,
1957/08/10,1.1,
1957/08/11,1.129,
1957/08/12,1.175,
1957/08/13,1.131,
1957/08/14,1.089,
1957/08/15,1.154,
1957/08/16,1.1,
1957/08/17,1.181,
1957/08/18,1.103,
1957/08/19,1.051,
1957/08/20,1.083,
1957/08/21,1.129,
1957/08/22,0.991,
1957/08/23,0.991,
1957/08/24,1.022,
1957/08/25,1.032,
1957/08/26,1.045,
1957/08/27,1.111,
1957/08/28,1.125,
1957/08/29,1.192,
1957/08/30,1.042,
1957/08/31,1.202,
1957/09/01,1.184,
1957/09/02,1.125,
1957/09/03,1.199,
1957/09/04,1.189,
1957/09/05,1.153,
1957/09/06,1.063,
1957/09/07,1.071,
1957/09/08,1.094,
1957/09/09,1.145,
1957/09/10,1.015,
1957/09/11,1.088,
1957/09/12,1.115,
1957/09/13,1.1,
1957/09/14,1.153,
1957/09/15,1.08,
1957/09/16,1.063,
1957/09/17,1.095,
1957/09/18,1.112,
1957/09/19,1.055,
1957/09/20,1.103,
1957/09/21,1.137,
1957/09/22,1.092,
1957/09/23,1.131,
1957/09/24,1.175,
1957/09/25,1.05,
1957/09/26,1.167,
1957/09/27,1.088,
1957/09/28,1.242,
1957/09/29,1.24,
1957/09/30,1.099,
1957/10/01,1.14,
1957/10/02,1.353,
1957/10/03,1.446,
1957/10/04,1.286,
1957/10/05,1.221,
1957/10/06,1.117,
1957/10/07,1.041,
1957/10/08,1.236,
1957/10/09,1.175,
1957/10/10,1.11,
1957/10/11,1.239,
1957/10/12,1.083,
1957/10/13,1.093,
1957/10/14,1.034,
1957/10/15,1.01,
1957/10/16,0.992,
1957/10/17,0.955,
1957/10/18,1.008,
1957/10/19,1.06,
1957/10/20,1.21,
1957/10/21,1.317,
1957/10/22,0.878,
1957/10/23,1.011,
1957/10/24,1.053,
1957/10/25,1.09,
1957/10/26,1.197,
1957/10/27,1.176,
1957/10/28,1.125,
1957/10/29,1.183,
1957/10/30,1.078,
1957/10/31,0.878,
1957/11/01,1.088,
1957/11/02,1.054,
1957/11/03,1.235,
1957/11/04,1.245,
1957/11/05,1.247,
1957/11/06,1.168,
1957/11/07,1.15,
1957/11/08,1.107,
1957/11/09,0.993,
1957/11/10,1.135,
1957/11/11,1.232,
1957/11/12,1.074,
1957/11/13,1.046,
1957/11/14,1.043,
1957/11/15,1.144,
1957/11/16,1.248,
1957/11/17,1.164,
1957/11/18,1.133,
1957/11/19,0.967,
1957/11/20,1.006,
1957/11/21,1.078,
1957/11/22,1.101,
1957/11/23,1.075,
1957/11/24,1.153,
1957/11/25,1.2,
1957/11/26,1.175,
1957/11/27,1.247,
1957/11/28,1.264,
1957/11/29,1.22,
1957/11/30,1.329,
1957/12/01,1.314,
1957/12/02,0.994,
1957/12/03,1.058,
1957/12/04,1.261,
1957/12/05,1.732,
1957/12/06,1.234,
1957/12/07,1.097,
1957/12/08,1.159,
1957/12/09,1.104,
1957/12/10,1.098,
1957/12/11,1.166,
1957/12/12,1.08,
1957/12/13,0.935,
1957/12/14,0.982,
1957/12/15,1.056,
1957/12/16,1.15,
1957/12/17,1.198,
1957/12/18,1.13,
1957/12/19,0.811,
1957/12/20,0.781,
1957/12/21,0.927,
1957/12/22,1.133,
1957/12/23,1.037,
1957/12/24,1.02,
1957/12/25,1.235,
1957/12/26,0.99,
1957/12/27,1.011,
1957/12/28,1.246,
1957/12/29,1.085,
1957/12/30,1.132,
1957/12/31,1.056,
1958/01/01,0.96,
1958/01/02,1.154,
1958/01/03,0.914,
1958/01/04,1.15,
1958/01/05,1.075,
1958/01/06,1.049,
1958/01/07,1.112,
1958/01/08,1.352,
1958/01/09,1.165,
1958/01/10,1.133,
1958/01/11,1.219,
1958/01/12,1.325,
1958/01/13,1.012,
1958/01/14,1.107,
1958/01/15,1.079,
1958/01/16,1.213,
1958/01/17,1.315,
1958/01/18,1.244,
1958/01/19,1.229,
1958/01/20,1.309,
1958/01/21,1.18,
1958/01/22,1.125,
1958/01/23,1.317,
1958/01/24,1.186,
1958/01/25,1.042,
1958/01/26,1.048,
1958/01/27,1.182,
1958/01/28,1.273,
1958/01/29,1.317,
1958/01/30,1.134,
1958/01/31,1.258,
1958/02/01,1.332,
1958/02/02,1.618,
1958/02/03,1.33,
1958/02/04,1.333,
1958/02/05,1.232,
1958/02/06,1.106,
1958/02/07,1.162,
1958/02/08,1.189,
1958/02/09,1.269,
1958/02/10,1.19,
1958/02/11,1.075,
1958/02/12,1.185,
1958/02/13,1.244,
1958/02/14,1.743,
1958/02/15,1.388,
1958/02/16,1.391,
1958/02/17,1.464,
1958/02/18,1.142,
1958/02/19,1.323,
1958/02/20,1.332,
1958/02/21,1.297,
1958/02/22,1.165,
1958/02/23,1.303,
1958/02/24,1.245,
1958/02/25,1.135,
1958/02/26,1.503,
1958/02/27,1.082,
1958/02/28,1.236,
1958/03/01,1.36,
1958/03/02,1.251,
1958/03/03,1.088,
1958/03/04,1.158,
1958/03/05,1.406,
1958/03/06,1.419,
1958/03/07,1.397,
1958/03/08,1.365,
1958/03/09,1.301,
1958/03/10,1.307,
1958/03/11,1.338,
1958/03/12,1.31,
1958/03/13,1.318,
1958/03/14,1.203,
1958/03/15,1.271,
1958/03/16,1.414,
1958/03/17,1.352,
1958/03/18,1.244,
1958/03/19,1.088,
1958/03/20,1.138,
1958/03/21,1.224,
1958/03/22,1.446,
1958/03/23,1.253,
1958/03/24,1.167,
1958/03/25,1.078,
1958/03/26,1.078,
1958/03/27,1.169,
1958/03/28,1.366,
1958/03/29,1.239,
1958/03/30,1.205,
1958/03/31,1.099,
1958/04/01,1.125,
1958/04/02,1.385,
1958/04/03,1.548,
1958/04/04,1.202,
1958/04/05,1.147,
1958/04/06,1.18,
1958/04/07,1.287,
1958/04/08,1.388,
1958/04/09,1.258,
1958/04/10,1.132,
1958/04/11,1.095,
1958/04/12,1.248,
1958/04/13,1.299,
1958/04/14,1.219,
1958/04/15,1.104,
1958/04/16,0.935,
1958/04/17,1.013,
1958/04/18,0.998,
1958/04/19,1.232,
1958/04/20,1.14,
1958/04/21,0.914,
1958/04/22,1.073,
1958/04/23,0.99,
1958/04/24,1.026,
1958/04/25,1.108,
1958/04/26,1.141,
1958/04/27,1.067,
1958/04/28,0.886,
1958/04/29,0.821,
1958/04/30,0.908,
1958/05/01,0.912,
1958/05/02,0.96,
1958/05/03,1.14,
1958/05/04,1.071,
1958/05/05,1.001,
1958/05/06,1.095,
1958/05/07,1.11,
1958/05/08,1.149,
1958/05/09,1.153,
1958/05/10,1.063,
1958/05/11,0.993,
1958/05/12,1.125,
1958/05/13,1.159,
1958/05/14,1.188,
1958/05/15,1.005,
1958/05/16,0.969,
1958/05/17,0.925,
1958/05/18,0.89,
1958/05/19,0.935,
1958/05/20,0.964,
1958/05/21,0.994,
1958/05/22,1.085,
1958/05/23,0.975,
1958/05/24,0.987,
1958/05/25,0.971,
1958/05/26,1.018,
1958/05/27,1.004,
1958/05/28,1.018,
1958/05/29,1.134,
1958/05/30,1.078,
1958/05/31,1.047,
1958/06/01,0.993,
1958/06/02,1.023,
1958/06/03,1.055,
1958/06/04,1.098,
1958/06/05,0.912,
1958/06/06,1.102,
1958/06/07,1.057,
1958/06/08,1.023,
1958/06/09,1.163,
1958/06/10,1.055,
1958/06/11,1.126,
1958/06/12,1.131,
1958/06/13,1.071,
1958/06/14,1.132,
1958/06/15,1.175,
1958/06/16,1.361,
1958/06/17,1.307,
1958/06/18,1.222,
1958/06/19,1.127,
1958/06/20,1.074,
1958/06/21,1.07,
1958/06/22,1.176,
1958/06/23,1.162,
1958/06/24,1.184,
1958/06/25,1.128,
1958/06/26,1.048,
1958/06/27,1.188,
1958/06/28,1.11,
1958/06/29,1.005,
1958/06/30,1.011,
1958/07/01,1.11,
1958/07/02,1.18,
1958/07/03,1.179,
1958/07/04,1.148,
1958/07/05,1.197,
1958/07/06,1.1,
1958/07/07,1.086,
1958/07/08,1.089,
1958/07/09,1.113,
1958/07/10,1.054,
1958/07/11,1.021,
1958/07/12,1.105,
1958/07/13,1.142,
1958/07/14,1,
1958/07/15,1.111,
1958/07/16,1.153,
1958/07/17,1.22,
1958/07/18,1.108,
1958/07/19,1.194,
1958/07/20,1.435,
1958/07/21,1.148,
1958/07/22,1.118,
1958/07/23,1.169,
1958/07/24,1.24,
1958/07/25,1.236,
1958/07/26,1.193,
1958/07/27,1.076,
1958/07/28,1.031,
1958/07/29,0.97,
1958/07/30,1.161,
1958/07/31,1.102,
1958/08/01,1.15,
1958/08/02,1.162,
1958/08/03,1.14,
1958/08/04,1.146,
1958/08/05,1.241,
1958/08/06,1.096,
1958/08/07,1.175,
1958/08/08,1.168,
1958/08/09,1.227,
1958/08/10,1.24,
1958/08/11,1.282,
1958/08/12,1.197,
1958/08/13,1.054,
1958/08/14,1.14,
1958/08/15,1.132,
1958/08/16,1.145,
1958/08/17,1.216,
1958/08/18,1.164,
1958/08/19,1.152,
1958/08/20,1.049,
1958/08/21,1.05,
1958/08/22,1.095,
1958/08/23,1.095,
1958/08/24,1.023,
1958/08/25,1.051,
1958/08/26,1.095,
1958/08/27,1.094,
1958/08/28,1.03,
1958/08/29,1.072,
1958/08/30,1.158,
1958/08/31,1.05,
1958/09/01,1.037,
1958/09/02,1.281,
1958/09/03,1.071,
1958/09/04,0.949,
1958/09/05,1.087,
1958/09/06,1.082,
1958/09/07,1.117,
1958/09/08,1.262,
1958/09/09,1.292,
1958/09/10,1.15,
1958/09/11,1.297,
1958/09/12,1.261,
1958/09/13,1.1,
1958/09/14,1.194,
1958/09/15,1.038,
1958/09/16,1.238,
1958/09/17,1.2,
1958/09/18,1.156,
1958/09/19,1.205,
1958/09/20,1.189,
1958/09/21,1.117,
1958/09/22,1.122,
1958/09/23,1.213,
1958/09/24,1.113,
1958/09/25,1.09,
1958/09/26,1.13,
1958/09/27,1.17,
1958/09/28,1.357,
1958/09/29,1.576,
1958/09/30,1.077,
1958/10/01,1.11,
1958/10/02,1.049,
1958/10/03,1.053,
1958/10/04,1.089,
1958/10/05,1.182,
1958/10/06,1.17,
1958/10/07,1.081,
1958/10/08,1.079,
1958/10/09,1.163,
1958/10/10,1.227,
1958/10/11,1.316,
1958/10/12,1.308,
1958/10/13,1.192,
1958/10/14,1.003,
1958/10/15,1.054,
1958/10/16,1.007,
1958/10/17,1.175,
1958/10/18,1.326,
1958/10/19,1.055,
1958/10/20,1.308,
1958/10/21,1.132,
1958/10/22,0.94,
1958/10/23,1.089,
1958/10/24,1.292,
1958/10/25,1.186,
1958/10/26,1.215,
1958/10/27,1.182,
1958/10/28,1.295,
1958/10/29,1.297,
1958/10/30,1.383,
1958/10/31,1.23,
1958/11/01,1.393,
1958/11/02,1.27,
1958/11/03,1.33,
1958/11/04,1.348,
1958/11/05,1.141,
1958/11/06,1.108,
1958/11/07,1.278,
1958/11/08,1.217,
1958/11/09,1.232,
1958/11/10,1.477,
1958/11/11,1.254,
1958/11/12,1.279,
1958/11/13,1.212,
1958/11/14,1.18,
1958/11/15,1.187,
1958/11/16,1.223,
1958/11/17,1.235,
1958/11/18,1.138,
1958/11/19,1.153,
1958/11/20,1.189,
1958/11/21,1.318,
1958/11/22,1.277,
1958/11/23,1.348,
1958/11/24,1.245,
1958/11/25,1.416,
1958/11/26,1.155,
1958/11/27,1.204,
1958/11/28,1.036,
1958/11/30,1.169,
1958/12/01,1.106,
1958/12/02,1.36,
1958/12/03,1.175,
1958/12/04,1.392,
1958/12/05,1.464,
1958/12/06,1.147,
1958/12/07,1.066,
1958/12/08,1.17,
1958/12/09,1.276,
1958/12/10,1.221,
1958/12/11,1.058,
1958/12/12,1.354,
1958/12/13,1.14,
1958/12/14,1.043,
1958/12/15,1.105,
1958/12/16,1.435,
1958/12/17,1.058,
1958/12/18,1.2,
1958/12/19,1.127,
1958/12/20,1.299,
1958/12/21,1.22,
1958/12/22,1.149,
1958/12/23,1.351,
1958/12/24,1.352,
1958/12/25,1.373,
1958/12/26,1.233,
1958/12/27,1.165,
1958/12/28,1.065,
1958/12/29,1.305,
1958/12/30,0.981,
1958/12/31,1.229,
1965/06/04,1.166,
1965/06/05,1.16,
1965/06/06,1.079,
1965/06/07,1.113,
1965/06/08,1.091,
1965/06/09,1.131,
1965/06/10,1.07,
1965/06/11,1.17,
1965/06/12,1.195,
1965/06/13,1.143,
1965/06/14,1.232,
1965/06/15,1.06,
1965/06/16,1.001,
1965/06/17,1.005,
1965/06/18,1.146,
1965/06/19,1.197,
1965/06/20,1.21,
1965/06/21,1.143,
1965/06/22,1.123,
1965/06/23,1.133,
1965/06/24,1.159,
1965/06/25,1.115,
1965/06/26,1.088,
1965/06/27,0.998,
1965/06/28,1.013,
1965/06/29,1.124,
1965/06/30,1.182,
1965/07/01,1.148,
1965/07/02,1.028,
1965/07/03,0.945,
1965/07/04,1.109,
1965/07/05,1.035,
1965/07/06,1.11,
1965/07/07,1,
1965/07/08,1.077,
1965/07/09,1.123,
1965/07/10,1.078,
1965/07/11,1.046,
1965/07/12,1.087,
1965/07/13,1.051,
1965/07/14,1.089,
1965/07/15,1.178,
1965/07/16,1.135,
1965/07/17,1.093,
1965/07/18,1.078,
1965/07/19,1.064,
1965/07/20,1.051,
1965/07/21,1.023,
1965/07/22,1.026,
1965/07/23,1.038,
1965/07/24,1.087,
1965/07/25,1.144,
1965/07/26,1.157,
1965/07/27,1.117,
1965/07/28,1.14,
1965/07/29,1.074,
1965/07/30,1.049,
1965/07/31,1.05,
1965/08/01,1.076,
1965/08/02,1.034,
1965/08/03,1.092,
1965/08/04,1.039,
1965/08/05,1.063,
1965/08/06,1.014,
1965/08/07,1.055,
1965/08/08,1.091,
1965/08/09,1.064,
1965/08/10,1.084,
1965/08/11,1.145,
1965/08/12,1.04,
1965/08/13,1.169,
1965/08/14,1.068,
1965/08/15,1.013,
1965/08/16,1.118,
1965/08/17,1.064,
1965/08/18,1.04,
1965/08/19,1.057,
1965/08/20,1.121,
1965/08/21,1.108,
1965/08/22,0.984,
1965/08/23,0.963,
1965/08/24,1.103,
1965/08/25,1.091,
1965/08/26,1.068,
1965/08/27,1.065,
1965/08/28,1.079,
1965/08/29,1.186,
1965/08/30,1.133,
1965/08/31,1.177,
1965/09/01,1.021,
1965/09/02,0.975,
1965/09/03,1.041,
1965/09/04,0.983,
1965/09/05,0.99,
1965/09/06,1.056,
1965/09/07,1.134,
1965/09/08,1.142,
1965/09/09,1.101,
1965/09/10,0.951,
1965/09/11,1.088,
1965/09/12,1.021,
1965/09/13,1.048,
1965/09/14,1.108,
1965/09/15,1.091,
1965/09/16,1.162,
1965/09/17,0.927,
1965/09/18,1.35,
1965/09/19,1.135,
1965/09/20,0.974,
1965/09/21,1.152,
1965/09/22,1.091,
1965/09/23,1.044,
1965/09/24,1.093,
1965/09/25,1.171,
1965/09/26,1.097,
1965/09/27,1.149,
1965/09/28,1.028,
1965/09/29,1.1,
1965/09/30,1.223,
1965/10/01,0.933,
1965/10/02,1.198,
1965/10/03,1.218,
1965/10/04,1.353,
1965/10/05,1.273,
1965/10/06,1.153,
1965/10/07,1.114,
1965/10/08,1.087,
1965/10/09,1.241,
1965/10/10,1.219,
1965/10/11,1.14,
1965/10/12,1.088,
1965/10/13,1.027,
1965/10/14,1.065,
1965/10/15,0.91,
1965/10/16,1.108,
1965/10/17,1.243,
1965/10/18,0.95,
1965/10/19,1.07,
1965/10/20,1.105,
1965/10/21,1.084,
1965/10/22,1.136,
1965/10/23,1.234,
1965/10/24,1.214,
1965/10/25,1.159,
1965/10/26,1.041,
1965/10/27,1.222,
1965/10/28,1.148,
1965/10/29,1.368,
1965/10/30,0.925,
1965/10/31,1.124,
1965/11/01,1.248,
1965/11/02,1.232,
1965/11/03,1.102,
1965/11/04,0.963,
1965/11/05,1.107,
1965/11/06,1.076,
1965/11/07,1.03,
1965/11/08,1.109,
1965/11/09,1.118,
1965/11/10,0.981,
1965/11/11,1.077,
1965/11/12,0.917,
1965/11/13,0.865,
1965/11/14,1.066,
1965/11/15,0.997,
1965/11/16,1.141,
1965/11/17,1.285,
1965/11/18,1.479,
1965/11/19,1.04,
1965/11/20,1.037,
1965/11/21,1.038,
1965/11/22,1.134,
1965/11/23,1.463,
1965/11/24,1.19,
1965/11/25,1.144,
1965/11/26,1.043,
1965/11/27,1.189,
1965/11/28,1.257,
1965/11/29,1.151,
1965/11/30,1.15,
1965/12/01,0.999,
1965/12/02,1.028,
1965/12/03,1.163,
1965/12/04,1.078,
1965/12/05,1.395,
1965/12/06,1.164,
1965/12/07,1.318,
1965/12/08,1.139,
1965/12/09,1.128,
1965/12/10,1.113,
1965/12/11,1.219,
1965/12/12,1.228,
1965/12/13,1.108,
1965/12/14,1.203,
1965/12/15,1.239,
1965/12/16,1.102,
1965/12/17,1.117,
1965/12/18,1.263,
1965/12/19,1.277,
1965/12/20,1.148,
1965/12/21,1.125,
1965/12/22,1.302,
1965/12/23,1.138,
1965/12/24,1.128,
1965/12/25,1.134,
1965/12/26,1.553,
1965/12/27,1.586,
1965/12/28,1.047,
1965/12/29,0.988,
1965/12/30,1.028,
1965/12/31,1.058,
1966/01/01,1.289,
1966/01/02,1.168,
1966/01/03,1.087,
1966/01/04,1.213,
1966/01/05,1.214,
1966/01/06,1.109,
1966/01/07,1.37,
1966/01/08,1.18,
1966/01/09,1.734,
1966/01/10,1.036,
1966/01/11,1.15,
1966/01/12,1.252,
1966/01/13,1.346,
1966/01/14,1.267,
1966/01/15,1.369,
1966/01/16,1.369,
1966/01/17,1.575,
1966/01/18,1.599,
1966/01/19,1.487,
1966/01/20,1.217,
1966/01/21,1.073,
1966/01/22,1.013,
1966/01/23,1.03,
1966/01/24,1.28,
1966/01/25,1.18,
1966/01/26,1.08,
1966/01/27,1.169,
1966/01/28,1.711,
1966/01/29,1.481,
1966/01/30,1.162,
1966/01/31,1.324,
1966/02/01,1.28,
1966/02/02,1.264,
1966/02/03,1.235,
1966/02/04,1.237,
1966/02/05,1.331,
1966/02/06,1.322,
1966/02/07,1.244,
1966/02/08,1.185,
1966/02/09,1.178,
1966/02/10,0.942,
1966/02/11,1.085,
1966/02/12,1.202,
1966/02/13,1.149,
1966/02/14,1.443,
1966/02/15,1.322,
1966/02/16,1.328,
1966/02/17,1.423,
1966/02/18,1.44,
1966/02/19,1.293,
1966/02/20,1.347,
1966/02/21,1.292,
1966/02/22,1.16,
1966/02/23,1.031,
1966/02/24,1.005,
1966/02/25,1.024,
1966/02/26,1.565,
1966/02/27,1.131,
1966/02/28,1.119,
1966/03/01,1.232,
1966/03/02,1.464,
1966/03/03,1.395,
1966/03/04,1.149,
1966/03/05,1.146,
1966/03/06,1.198,
1966/03/07,0.981,
1966/03/08,1.005,
1966/03/09,0.927,
1966/03/10,1.05,
1966/03/11,1.218,
1966/03/12,1.075,
1966/03/13,1.08,
1966/03/14,1.07,
1966/03/15,1.223,
1966/03/16,1.184,
1966/03/17,1.173,
1966/03/18,1.028,
1966/03/19,0.987,
1966/03/20,0.958,
1966/03/21,1.075,
1966/03/22,1.059,
1966/03/23,1.073,
1966/03/24,1.012,
1966/03/25,0.918,
1966/03/26,1.074,
1966/03/27,1.029,
1966/03/28,1.304,
1966/03/29,1.231,
1966/03/30,1.173,
1966/03/31,1.269,
1966/04/01,1.504,
1966/04/02,1.285,
1966/04/03,1.18,
1966/04/04,1.084,
1966/04/05,1.166,
1966/04/06,1.017,
1966/04/07,1.014,
1966/04/08,0.985,
1966/04/09,1.072,
1966/04/10,1.137,
1966/04/11,1.199,
1966/04/12,1.162,
1966/04/13,0.975,
1966/04/14,1.065,
1966/04/15,1.166,
1966/04/16,1.06,
1966/04/17,1.012,
1966/04/18,0.98,
1966/04/19,0.954,
1966/04/20,0.871,
1966/04/21,0.745,
1966/04/22,0.825,
1966/04/23,0.954,
1966/04/24,0.823,
1966/04/25,0.952,
1966/04/26,1.221,
1966/04/27,1.217,
1966/04/28,1.155,
1966/04/29,0.94,
1966/04/30,0.867,
1966/05/01,0.984,
1966/05/02,0.995,
1966/05/03,0.933,
1966/05/04,0.888,
1966/05/05,0.949,
1966/05/06,0.998,
1966/05/07,1.026,
1966/05/08,0.886,
1966/05/09,1.112,
1966/05/10,1.066,
1966/05/11,0.88,
1966/05/12,0.981,
1966/05/13,0.968,
1966/05/14,1.153,
1966/05/15,1.053,
1966/05/16,0.897,
1966/05/17,1.016,
1966/05/18,0.929,
1966/05/19,0.848,
1966/05/20,0.838,
1966/05/21,0.904,
1966/05/22,0.989,
1966/05/23,1.024,
1966/05/24,0.959,
1966/05/25,1.038,
1966/05/26,1.007,
1966/05/27,1.02,
1966/05/28,0.95,
1966/05/29,1.049,
1966/05/30,1.003,
1966/05/31,0.899,
1966/06/01,0.94,
1966/06/02,0.914,
1966/06/03,0.885,
1966/06/04,0.903,
1966/06/05,0.914,
1966/06/06,0.865,
1966/06/07,0.904,
1966/06/08,0.941,
1966/06/09,1.073,
1966/06/10,0.963,
1966/06/11,1.13,
1966/06/12,0.763,
1966/06/13,0.743,
1966/06/14,0.895,
1966/06/15,0.917,
1966/06/16,0.937,
1966/06/17,0.959,
1966/06/18,0.904,
1966/06/19,0.847,
1966/06/20,0.903,
1966/06/21,0.923,
1966/06/22,0.858,
1966/06/23,0.991,
1966/06/24,1.103,
1966/06/25,0.931,
1966/06/26,0.833,
1966/06/27,0.894,
1966/06/28,0.945,
1966/06/29,0.89,
1966/06/30,0.995,
1966/07/01,1.135,
1966/07/02,1.068,
1966/07/03,1.129,
1966/07/04,1.227,
1966/07/05,1.205,
1966/07/06,1.063,
1966/07/07,1.163,
1966/07/08,1.171,
1966/07/09,1.128,
1966/07/10,1.035,
1966/07/11,1.101,
1966/07/12,1.117,
1966/07/13,1.136,
1966/07/14,1.256,
1966/07/15,1.236,
1966/07/16,1.147,
1966/07/17,1.057,
1966/07/18,1.027,
1966/07/19,1.191,
1966/07/20,1.218,
1966/07/21,1.239,
1966/07/22,1.065,
1966/07/23,0.994,
1966/07/24,0.997,
1966/07/25,1.03,
1966/07/26,1.078,
1966/07/27,1.17,
1966/07/28,1.116,
1966/07/29,1.204,
1966/07/30,1.19,
1966/07/31,1.04,
1966/08/01,1.1,
1966/08/02,1.129,
1966/08/03,1.113,
1966/08/04,1.09,
1966/08/05,1.055,
1966/08/06,1.125,
1966/08/07,1.118,
1966/08/08,1.113,
1966/08/09,1.063,
1966/08/10,0.978,
1966/08/11,1.023,
1966/08/12,1.079,
1966/08/13,1.182,
1966/08/14,1.073,
1966/08/15,1.043,
